=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786455670
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=14s  eta=2124s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=27s  eta=1971s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=39s  eta=1923s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=52s  eta=1884s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=64s  eta=1866s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=77s  eta=1839s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=89s  eta=1816s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=101s  eta=1794s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=114s  eta=1779s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=126s  eta=1768s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=139s  eta=1758s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=152s  eta=1743s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=164s  eta=1727s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=177s  eta=1719s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=189s  eta=1705s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=202s  eta=1692s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=214s  eta=1678s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=227s  eta=1665s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=240s  eta=1656s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=252s  eta=1640s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=265s  eta=1628s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=277s  eta=1613s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=289s  eta=1598s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=302s  eta=1584s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=314s  eta=1572s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=327s  eta=1557s
progress: 540/3000 (18.0%)  ok=540 fail=0  elapsed=338s  eta=1542s
progress: 560/3000 (18.7%)  ok=560 fail=0  elapsed=351s  eta=1527s
