=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786432634
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=19s  eta=2860s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=36s  eta=2642s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=52s  eta=2547s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=69s  eta=2535s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=87s  eta=2516s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=104s  eta=2488s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=121s  eta=2471s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=139s  eta=2470s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=156s  eta=2441s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=172s  eta=2415s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=190s  eta=2395s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=207s  eta=2375s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=224s  eta=2362s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=241s  eta=2346s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=258s  eta=2326s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=276s  eta=2310s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=292s  eta=2288s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=309s  eta=2270s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=327s  eta=2252s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=342s  eta=2225s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=359s  eta=2208s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=376s  eta=2190s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=393s  eta=2172s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=410s  eta=2150s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=426s  eta=2132s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=443s  eta=2113s
