=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786444886
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=17s  eta=2502s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=32s  eta=2364s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=47s  eta=2283s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=62s  eta=2260s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=77s  eta=2230s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=93s  eta=2222s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=107s  eta=2190s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=123s  eta=2182s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=138s  eta=2170s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=155s  eta=2164s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=170s  eta=2152s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=185s  eta=2125s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=199s  eta=2098s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=214s  eta=2079s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=228s  eta=2052s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=244s  eta=2044s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=259s  eta=2029s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=275s  eta=2020s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=291s  eta=2006s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=307s  eta=1993s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=322s  eta=1981s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=337s  eta=1962s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=353s  eta=1948s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=369s  eta=1936s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=384s  eta=1921s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=401s  eta=1911s
progress: 540/3000 (18.0%)  ok=540 fail=0  elapsed=416s  eta=1897s
progress: 560/3000 (18.7%)  ok=560 fail=0  elapsed=431s  eta=1879s
progress: 580/3000 (19.3%)  ok=580 fail=0  elapsed=446s  eta=1862s
progress: 600/3000 (20.0%)  ok=600 fail=0  elapsed=461s  eta=1845s
progress: 620/3000 (20.7%)  ok=620 fail=0  elapsed=477s  eta=1829s
progress: 640/3000 (21.3%)  ok=640 fail=0  elapsed=492s  eta=1814s
progress: 660/3000 (22.0%)  ok=660 fail=0  elapsed=506s  eta=1794s
progress: 680/3000 (22.7%)  ok=680 fail=0  elapsed=521s  eta=1776s
progress: 700/3000 (23.3%)  ok=700 fail=0  elapsed=536s  eta=1761s
progress: 720/3000 (24.0%)  ok=720 fail=0  elapsed=552s  eta=1747s
progress: 740/3000 (24.7%)  ok=740 fail=0  elapsed=566s  eta=1729s
progress: 760/3000 (25.3%)  ok=760 fail=0  elapsed=581s  eta=1713s
progress: 780/3000 (26.0%)  ok=780 fail=0  elapsed=597s  eta=1701s
progress: 800/3000 (26.7%)  ok=800 fail=0  elapsed=614s  eta=1687s
progress: 820/3000 (27.3%)  ok=820 fail=0  elapsed=628s  eta=1670s
progress: 840/3000 (28.0%)  ok=840 fail=0  elapsed=643s  eta=1652s
progress: 860/3000 (28.7%)  ok=860 fail=0  elapsed=656s  eta=1633s
progress: 880/3000 (29.3%)  ok=880 fail=0  elapsed=671s  eta=1617s
progress: 900/3000 (30.0%)  ok=900 fail=0  elapsed=686s  eta=1600s
progress: 920/3000 (30.7%)  ok=920 fail=0  elapsed=701s  eta=1585s
progress: 940/3000 (31.3%)  ok=940 fail=0  elapsed=717s  eta=1571s
progress: 960/3000 (32.0%)  ok=960 fail=0  elapsed=732s  eta=1554s
progress: 980/3000 (32.7%)  ok=980 fail=0  elapsed=746s  eta=1537s
progress: 1000/3000 (33.3%)  ok=1000 fail=0  elapsed=760s  eta=1521s
progress: 1020/3000 (34.0%)  ok=1020 fail=0  elapsed=776s  eta=1506s
progress: 1040/3000 (34.7%)  ok=1040 fail=0  elapsed=792s  eta=1493s
progress: 1060/3000 (35.3%)  ok=1060 fail=0  elapsed=807s  eta=1476s
progress: 1080/3000 (36.0%)  ok=1080 fail=0  elapsed=821s  eta=1459s
progress: 1100/3000 (36.7%)  ok=1100 fail=0  elapsed=835s  eta=1443s
progress: 1120/3000 (37.3%)  ok=1120 fail=0  elapsed=850s  eta=1427s
progress: 1140/3000 (38.0%)  ok=1140 fail=0  elapsed=866s  eta=1412s
progress: 1160/3000 (38.7%)  ok=1160 fail=0  elapsed=881s  eta=1397s
progress: 1180/3000 (39.3%)  ok=1180 fail=0  elapsed=896s  eta=1382s
progress: 1200/3000 (40.0%)  ok=1200 fail=0  elapsed=912s  eta=1368s
progress: 1220/3000 (40.7%)  ok=1220 fail=0  elapsed=928s  eta=1353s
progress: 1240/3000 (41.3%)  ok=1240 fail=0  elapsed=943s  eta=1339s
progress: 1260/3000 (42.0%)  ok=1260 fail=0  elapsed=958s  eta=1323s
progress: 1280/3000 (42.7%)  ok=1280 fail=0  elapsed=974s  eta=1309s
progress: 1300/3000 (43.3%)  ok=1300 fail=0  elapsed=989s  eta=1293s
progress: 1320/3000 (44.0%)  ok=1320 fail=0  elapsed=1004s  eta=1278s
progress: 1340/3000 (44.7%)  ok=1340 fail=0  elapsed=1019s  eta=1262s
progress: 1360/3000 (45.3%)  ok=1360 fail=0  elapsed=1035s  eta=1248s
progress: 1380/3000 (46.0%)  ok=1380 fail=0  elapsed=1050s  eta=1233s
progress: 1400/3000 (46.7%)  ok=1400 fail=0  elapsed=1067s  eta=1219s
progress: 1420/3000 (47.3%)  ok=1420 fail=0  elapsed=1083s  eta=1205s
progress: 1440/3000 (48.0%)  ok=1440 fail=0  elapsed=1099s  eta=1190s
progress: 1460/3000 (48.7%)  ok=1460 fail=0  elapsed=1113s  eta=1174s
progress: 1480/3000 (49.3%)  ok=1480 fail=0  elapsed=1129s  eta=1159s
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1144s  eta=1144s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1158s  eta=1128s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1174s  eta=1113s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1188s  eta=1096s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1203s  eta=1081s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1217s  eta=1065s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1233s  eta=1050s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1248s  eta=1035s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1262s  eta=1019s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1277s  eta=1003s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1292s  eta=988s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1308s  eta=973s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1324s  eta=958s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1338s  eta=943s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1353s  eta=927s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1368s  eta=912s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1383s  eta=897s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1398s  eta=881s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1413s  eta=866s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1430s  eta=852s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1445s  eta=837s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1461s  eta=822s
