=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786458313
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=16s  eta=2370s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=29s  eta=2176s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=43s  eta=2097s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=56s  eta=2061s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=71s  eta=2045s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=84s  eta=2014s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=98s  eta=1998s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=112s  eta=1989s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=125s  eta=1962s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=139s  eta=1952s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=153s  eta=1935s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=167s  eta=1925s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=181s  eta=1913s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=195s  eta=1898s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=209s  eta=1880s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=222s  eta=1860s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=236s  eta=1845s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=250s  eta=1833s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=264s  eta=1818s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=278s  eta=1804s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=291s  eta=1785s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=304s  eta=1766s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=318s  eta=1757s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=332s  eta=1742s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=345s  eta=1726s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=360s  eta=1716s
progress: 540/3000 (18.0%)  ok=540 fail=0  elapsed=374s  eta=1703s
progress: 560/3000 (18.7%)  ok=560 fail=0  elapsed=388s  eta=1690s
