=== BUDGET-LIMITED RUN: time_limit=1800s ===
start=1786061105
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 20/200000 (0.0%)  ok=20 fail=0  elapsed=18s  eta=183531s
progress: 40/200000 (0.0%)  ok=40 fail=0  elapsed=34s  eta=168070s
progress: 60/200000 (0.0%)  ok=60 fail=0  elapsed=50s  eta=166112s
progress: 80/200000 (0.0%)  ok=80 fail=0  elapsed=66s  eta=166003s
progress: 100/200000 (0.1%)  ok=100 fail=0  elapsed=84s  eta=167214s
progress: 120/200000 (0.1%)  ok=120 fail=0  elapsed=100s  eta=166645s
progress: 140/200000 (0.1%)  ok=140 fail=0  elapsed=116s  eta=165346s
progress: 160/200000 (0.1%)  ok=160 fail=0  elapsed=131s  eta=164132s
progress: 180/200000 (0.1%)  ok=180 fail=0  elapsed=147s  eta=163473s
progress: 200/200000 (0.1%)  ok=200 fail=0  elapsed=163s  eta=162611s
progress: 220/200000 (0.1%)  ok=220 fail=0  elapsed=179s  eta=162449s
progress: 240/200000 (0.1%)  ok=240 fail=0  elapsed=195s  eta=162386s
progress: 260/200000 (0.1%)  ok=260 fail=0  elapsed=211s  eta=162432s
progress: 280/200000 (0.1%)  ok=280 fail=0  elapsed=228s  eta=162401s
progress: 300/200000 (0.1%)  ok=300 fail=0  elapsed=243s  eta=161827s
progress: 320/200000 (0.2%)  ok=320 fail=0  elapsed=259s  eta=161619s
progress: 340/200000 (0.2%)  ok=340 fail=0  elapsed=275s  eta=161434s
progress: 360/200000 (0.2%)  ok=360 fail=0  elapsed=291s  eta=161126s
progress: 380/200000 (0.2%)  ok=380 fail=0  elapsed=306s  eta=160777s
progress: 400/200000 (0.2%)  ok=400 fail=0  elapsed=321s  eta=160373s
progress: 420/200000 (0.2%)  ok=420 fail=0  elapsed=337s  eta=160332s
progress: 440/200000 (0.2%)  ok=440 fail=0  elapsed=354s  eta=160343s
progress: 460/200000 (0.2%)  ok=460 fail=0  elapsed=369s  eta=160237s
progress: 480/200000 (0.2%)  ok=480 fail=0  elapsed=385s  eta=160099s
progress: 500/200000 (0.2%)  ok=500 fail=0  elapsed=400s  eta=159706s
progress: 520/200000 (0.3%)  ok=520 fail=0  elapsed=416s  eta=159758s
progress: 540/200000 (0.3%)  ok=540 fail=0  elapsed=431s  eta=159351s
progress: 560/200000 (0.3%)  ok=560 fail=0  elapsed=448s  eta=159458s
progress: 580/200000 (0.3%)  ok=580 fail=0  elapsed=463s  eta=159182s
progress: 600/200000 (0.3%)  ok=600 fail=0  elapsed=479s  eta=159299s
