=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 20/200000 (0.0%)  ok=20 fail=0  elapsed=26s  eta=256186s
progress: 40/200000 (0.0%)  ok=40 fail=0  elapsed=49s  eta=244758s
progress: 60/200000 (0.0%)  ok=60 fail=0  elapsed=72s  eta=240854s
progress: 80/200000 (0.0%)  ok=80 fail=0  elapsed=96s  eta=238952s
progress: 100/200000 (0.1%)  ok=100 fail=0  elapsed=118s  eta=236231s
progress: 120/200000 (0.1%)  ok=120 fail=0  elapsed=141s  eta=235480s
progress: 140/200000 (0.1%)  ok=140 fail=0  elapsed=165s  eta=235808s
progress: 160/200000 (0.1%)  ok=160 fail=0  elapsed=188s  eta=235355s
progress: 180/200000 (0.1%)  ok=180 fail=0  elapsed=212s  eta=235516s
progress: 200/200000 (0.1%)  ok=200 fail=0  elapsed=235s  eta=235070s
progress: 220/200000 (0.1%)  ok=220 fail=0  elapsed=258s  eta=234496s
progress: 240/200000 (0.1%)  ok=240 fail=0  elapsed=282s  eta=234913s
progress: 260/200000 (0.1%)  ok=260 fail=0  elapsed=305s  eta=234363s
progress: 280/200000 (0.1%)  ok=280 fail=0  elapsed=328s  eta=234269s
progress: 300/200000 (0.1%)  ok=300 fail=0  elapsed=350s  eta=233049s
progress: 320/200000 (0.2%)  ok=320 fail=0  elapsed=372s  eta=232277s
progress: 340/200000 (0.2%)  ok=340 fail=0  elapsed=396s  eta=232600s
progress: 360/200000 (0.2%)  ok=360 fail=0  elapsed=418s  eta=231855s
progress: 380/200000 (0.2%)  ok=380 fail=0  elapsed=441s  eta=231784s
progress: 400/200000 (0.2%)  ok=400 fail=0  elapsed=463s  eta=231200s
progress: 420/200000 (0.2%)  ok=420 fail=0  elapsed=487s  eta=231291s
progress: 440/200000 (0.2%)  ok=440 fail=0  elapsed=511s  eta=231884s
progress: 460/200000 (0.2%)  ok=460 fail=0  elapsed=535s  eta=231892s
progress: 480/200000 (0.2%)  ok=480 fail=0  elapsed=556s  eta=231232s
progress: 500/200000 (0.2%)  ok=500 fail=0  elapsed=580s  eta=231478s
progress: 520/200000 (0.3%)  ok=520 fail=0  elapsed=604s  eta=231705s
progress: 540/200000 (0.3%)  ok=540 fail=0  elapsed=628s  eta=231791s
progress: 560/200000 (0.3%)  ok=560 fail=0  elapsed=651s  eta=231905s
progress: 580/200000 (0.3%)  ok=580 fail=0  elapsed=674s  eta=231831s
progress: 600/200000 (0.3%)  ok=600 fail=0  elapsed=697s  eta=231520s
progress: 620/200000 (0.3%)  ok=620 fail=0  elapsed=720s  eta=231594s
progress: 640/200000 (0.3%)  ok=640 fail=0  elapsed=744s  eta=231615s
progress: 660/200000 (0.3%)  ok=660 fail=0  elapsed=766s  eta=231421s
progress: 680/200000 (0.3%)  ok=680 fail=0  elapsed=788s  eta=230884s
progress: 700/200000 (0.4%)  ok=700 fail=0  elapsed=810s  eta=230689s
progress: 720/200000 (0.4%)  ok=720 fail=0  elapsed=832s  eta=230249s
progress: 740/200000 (0.4%)  ok=740 fail=0  elapsed=854s  eta=230066s
progress: 760/200000 (0.4%)  ok=760 fail=0  elapsed=878s  eta=230211s
progress: 780/200000 (0.4%)  ok=780 fail=0  elapsed=901s  eta=230051s
progress: 800/200000 (0.4%)  ok=800 fail=0  elapsed=925s  eta=230260s
progress: 820/200000 (0.4%)  ok=820 fail=0  elapsed=948s  eta=230342s
progress: 840/200000 (0.4%)  ok=840 fail=0  elapsed=973s  eta=230756s
progress: 860/200000 (0.4%)  ok=860 fail=0  elapsed=997s  eta=230923s
progress: 880/200000 (0.4%)  ok=880 fail=0  elapsed=1019s  eta=230644s
progress: 900/200000 (0.4%)  ok=900 fail=0  elapsed=1043s  eta=230647s
progress: 920/200000 (0.5%)  ok=920 fail=0  elapsed=1065s  eta=230521s
progress: 940/200000 (0.5%)  ok=940 fail=0  elapsed=1089s  eta=230711s
