=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786462785
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=14s  eta=2131s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=28s  eta=2036s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=40s  eta=1968s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=53s  eta=1952s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=67s  eta=1933s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=80s  eta=1911s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=93s  eta=1897s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=106s  eta=1875s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=119s  eta=1862s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=132s  eta=1845s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=145s  eta=1829s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=158s  eta=1816s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=171s  eta=1804s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=184s  eta=1786s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=198s  eta=1784s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=211s  eta=1770s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=224s  eta=1755s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=237s  eta=1741s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=250s  eta=1723s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=263s  eta=1708s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=276s  eta=1695s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=289s  eta=1683s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=302s  eta=1666s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=315s  eta=1656s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=329s  eta=1643s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=341s  eta=1626s
progress: 540/3000 (18.0%)  ok=540 fail=0  elapsed=353s  eta=1610s
progress: 560/3000 (18.7%)  ok=560 fail=0  elapsed=367s  eta=1600s
progress: 580/3000 (19.3%)  ok=580 fail=0  elapsed=381s  eta=1588s
progress: 600/3000 (20.0%)  ok=600 fail=0  elapsed=394s  eta=1575s
progress: 620/3000 (20.7%)  ok=620 fail=0  elapsed=406s  eta=1560s
progress: 640/3000 (21.3%)  ok=640 fail=0  elapsed=420s  eta=1547s
progress: 660/3000 (22.0%)  ok=660 fail=0  elapsed=433s  eta=1535s
progress: 680/3000 (22.7%)  ok=680 fail=0  elapsed=446s  eta=1520s
progress: 700/3000 (23.3%)  ok=700 fail=0  elapsed=458s  eta=1506s
progress: 720/3000 (24.0%)  ok=720 fail=0  elapsed=471s  eta=1493s
progress: 740/3000 (24.7%)  ok=740 fail=0  elapsed=484s  eta=1478s
progress: 760/3000 (25.3%)  ok=760 fail=0  elapsed=497s  eta=1464s
progress: 780/3000 (26.0%)  ok=780 fail=0  elapsed=510s  eta=1450s
progress: 800/3000 (26.7%)  ok=800 fail=0  elapsed=523s  eta=1439s
progress: 820/3000 (27.3%)  ok=820 fail=0  elapsed=536s  eta=1426s
progress: 840/3000 (28.0%)  ok=840 fail=0  elapsed=550s  eta=1414s
progress: 860/3000 (28.7%)  ok=860 fail=0  elapsed=562s  eta=1399s
progress: 880/3000 (29.3%)  ok=880 fail=0  elapsed=575s  eta=1385s
progress: 900/3000 (30.0%)  ok=900 fail=0  elapsed=588s  eta=1373s
progress: 920/3000 (30.7%)  ok=920 fail=0  elapsed=602s  eta=1360s
