=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786287247
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=25s  eta=3778s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=47s  eta=3498s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=70s  eta=3431s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=94s  eta=3427s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=118s  eta=3410s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=141s  eta=3379s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=164s  eta=3344s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=187s  eta=3324s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=210s  eta=3290s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=233s  eta=3256s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=256s  eta=3234s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=280s  eta=3220s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=303s  eta=3196s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=325s  eta=3160s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=347s  eta=3124s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=371s  eta=3110s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=394s  eta=3082s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=417s  eta=3061s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=440s  eta=3037s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=464s  eta=3018s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=488s  eta=2997s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=512s  eta=2976s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=535s  eta=2952s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=558s  eta=2928s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=581s  eta=2905s
progress: 520/3000 (17.3%)  ok=520 fail=0  elapsed=603s  eta=2877s
progress: 540/3000 (18.0%)  ok=540 fail=0  elapsed=626s  eta=2850s
progress: 560/3000 (18.7%)  ok=560 fail=0  elapsed=650s  eta=2832s
progress: 580/3000 (19.3%)  ok=580 fail=0  elapsed=673s  eta=2808s
progress: 600/3000 (20.0%)  ok=600 fail=0  elapsed=696s  eta=2782s
progress: 620/3000 (20.7%)  ok=620 fail=0  elapsed=718s  eta=2757s
progress: 640/3000 (21.3%)  ok=640 fail=0  elapsed=741s  eta=2731s
progress: 660/3000 (22.0%)  ok=660 fail=0  elapsed=763s  eta=2706s
progress: 680/3000 (22.7%)  ok=680 fail=0  elapsed=786s  eta=2683s
progress: 700/3000 (23.3%)  ok=700 fail=0  elapsed=810s  eta=2661s
progress: 720/3000 (24.0%)  ok=720 fail=0  elapsed=833s  eta=2637s
progress: 740/3000 (24.7%)  ok=740 fail=0  elapsed=855s  eta=2612s
progress: 760/3000 (25.3%)  ok=760 fail=0  elapsed=878s  eta=2589s
progress: 780/3000 (26.0%)  ok=780 fail=0  elapsed=901s  eta=2564s
progress: 800/3000 (26.7%)  ok=800 fail=0  elapsed=924s  eta=2541s
progress: 820/3000 (27.3%)  ok=820 fail=0  elapsed=947s  eta=2518s
progress: 840/3000 (28.0%)  ok=840 fail=0  elapsed=970s  eta=2495s
progress: 860/3000 (28.7%)  ok=860 fail=0  elapsed=993s  eta=2471s
progress: 880/3000 (29.3%)  ok=880 fail=0  elapsed=1017s  eta=2449s
progress: 900/3000 (30.0%)  ok=900 fail=0  elapsed=1040s  eta=2426s
progress: 920/3000 (30.7%)  ok=920 fail=0  elapsed=1063s  eta=2404s
progress: 940/3000 (31.3%)  ok=940 fail=0  elapsed=1087s  eta=2383s
progress: 960/3000 (32.0%)  ok=960 fail=0  elapsed=1111s  eta=2360s
progress: 980/3000 (32.7%)  ok=980 fail=0  elapsed=1133s  eta=2335s
progress: 1000/3000 (33.3%)  ok=1000 fail=0  elapsed=1155s  eta=2310s
progress: 1020/3000 (34.0%)  ok=1020 fail=0  elapsed=1178s  eta=2287s
progress: 1040/3000 (34.7%)  ok=1040 fail=0  elapsed=1200s  eta=2261s
progress: 1060/3000 (35.3%)  ok=1060 fail=0  elapsed=1223s  eta=2237s
progress: 1080/3000 (36.0%)  ok=1080 fail=0  elapsed=1246s  eta=2216s
progress: 1100/3000 (36.7%)  ok=1100 fail=0  elapsed=1269s  eta=2192s
progress: 1120/3000 (37.3%)  ok=1120 fail=0  elapsed=1292s  eta=2169s
