=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786437330
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 20/3000 (0.7%)  ok=20 fail=0  elapsed=16s  eta=2399s
progress: 40/3000 (1.3%)  ok=40 fail=0  elapsed=30s  eta=2198s
progress: 60/3000 (2.0%)  ok=60 fail=0  elapsed=44s  eta=2159s
progress: 80/3000 (2.7%)  ok=80 fail=0  elapsed=58s  eta=2107s
progress: 100/3000 (3.3%)  ok=100 fail=0  elapsed=71s  eta=2061s
progress: 120/3000 (4.0%)  ok=120 fail=0  elapsed=84s  eta=2021s
progress: 140/3000 (4.7%)  ok=140 fail=0  elapsed=98s  eta=2009s
progress: 160/3000 (5.3%)  ok=160 fail=0  elapsed=112s  eta=1982s
progress: 180/3000 (6.0%)  ok=180 fail=0  elapsed=125s  eta=1962s
progress: 200/3000 (6.7%)  ok=200 fail=0  elapsed=138s  eta=1933s
progress: 220/3000 (7.3%)  ok=220 fail=0  elapsed=151s  eta=1914s
progress: 240/3000 (8.0%)  ok=240 fail=0  elapsed=164s  eta=1884s
progress: 260/3000 (8.7%)  ok=260 fail=0  elapsed=178s  eta=1874s
progress: 280/3000 (9.3%)  ok=280 fail=0  elapsed=192s  eta=1862s
progress: 300/3000 (10.0%)  ok=300 fail=0  elapsed=206s  eta=1852s
progress: 320/3000 (10.7%)  ok=320 fail=0  elapsed=219s  eta=1836s
progress: 340/3000 (11.3%)  ok=340 fail=0  elapsed=233s  eta=1824s
progress: 360/3000 (12.0%)  ok=360 fail=0  elapsed=247s  eta=1813s
progress: 380/3000 (12.7%)  ok=380 fail=0  elapsed=260s  eta=1793s
progress: 400/3000 (13.3%)  ok=400 fail=0  elapsed=273s  eta=1776s
progress: 420/3000 (14.0%)  ok=420 fail=0  elapsed=287s  eta=1763s
progress: 440/3000 (14.7%)  ok=440 fail=0  elapsed=301s  eta=1749s
progress: 460/3000 (15.3%)  ok=460 fail=0  elapsed=314s  eta=1736s
progress: 480/3000 (16.0%)  ok=480 fail=0  elapsed=329s  eta=1727s
progress: 500/3000 (16.7%)  ok=500 fail=0  elapsed=342s  eta=1711s
